+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|     100mb_s10000_a10000_u10000_n16_m1024     |  100mb   |      10000      |       10000        |      10000      |      16     |     1024    |      5.174510813       |      11.195379173     | 116.35628134883169 |
|      100mb_s10000_a10000_u10000_n16_m16      |  100mb   |      10000      |       10000        |      10000      |      16     |      16     |       5.17626049       |      9.886533828      | 90.99761009129584  |
|     100mb_s10000_a10000_u10000_n16_m2048     |  100mb   |      10000      |       10000        |      10000      |      16     |     2048    |      5.176975714       |      11.148374878     | 115.34531923438726 |
|     100mb_s10000_a10000_u10000_n16_m512      |  100mb   |      10000      |       10000        |      10000      |      16     |     512     |      5.176232931       |      10.892787345     | 110.43850789179255 |
|      100mb_s10000_a10000_u10000_n16_m64      |  100mb   |      10000      |       10000        |      10000      |      16     |      64     |      5.178701515       |      10.294681168     |  98.7888496408158  |
|    100mb_s10000_a10000_u10000_n2048_m2048    |  100mb   |      10000      |       10000        |      10000      |     2048    |     2048    |      5.177886857       |      76.444614134     | 1376.367024718864  |
|    100mb_s10000_a10000_u10000_n512_m1024     |  100mb   |      10000      |       10000        |      10000      |     512     |     1024    |      5.177219883       |      33.029990652     | 537.9870161678432  |
|    100mb_s10000_a10000_u10000_n512_m2048     |  100mb   |      10000      |       10000        |      10000      |     512     |     2048    |      5.175787172       |      34.025724563     |  557.401926166372  |
|     100mb_s10000_a10000_u10000_n512_m512     |  100mb   |      10000      |       10000        |      10000      |     512     |     512     |      5.178191367       |      31.702160389     |  512.224580787688  |
|     100mb_s10000_a10000_u10000_n64_m1024     |  100mb   |      10000      |       10000        |      10000      |      64     |     1024    |      5.176377261       |      12.477765902     | 141.05209633792185 |
|     100mb_s10000_a10000_u10000_n64_m2048     |  100mb   |      10000      |       10000        |      10000      |      64     |     2048    |      5.175105195       |      12.489398895     | 141.33613568023324 |
